id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6246246,Quiet double close to city/airport,32431411,Ciaran,,Dublin City,53.37464,-6.26201,Private room,79,1,10,2018-05-27,0.20,2,0
6247667,A beautiful family home in Dublin!,32439345,Anne,,Fingal,53.38704,-6.39374,Entire home/apt,245,5,12,2019-05-07,0.23,1,266
6254374,Hidden Gem in Quiet Cul -de- Sac D4,4957907,Arianna,,Dublin City,53.32794,-6.21191,Entire home/apt,199,3,48,2019-08-01,0.90,6,335
6255482,Rent a room in Dublin (Smithfield),32496256,Adriano,,Dublin City,53.34782,-6.28213,Shared room,20,1,2,2015-11-23,0.04,1,0
6259901,South Dublin Beach Bungalow,9301292,Morgan,,Dublin City,53.33406,-6.21489,Entire home/apt,100,5,0,,,1,0
6266903,Loft apartment in old Distillery beside Croke Park,27606052,John,,Dublin City,53.36294,-6.24878,Entire home/apt,109,2,93,2019-09-12,1.75,1,1
6267817,Lucyswell B&B Dublin 9,32572408,Weldon,,Dublin City,53.38479,-6.22946,Private room,80,2,21,2019-09-15,0.40,1,76
6269367,Dublin's Cultural Quarter,10618080,Jess,,Dublin City,53.34221,-6.2639,Entire home/apt,100,5,2,2015-06-12,0.04,1,0
6270476,Couples - Welcome to Dublin!!!,32586753,Mercia,,Dublin City,53.3517,-6.2543,Private room,90,2,34,2019-09-08,0.64,2,354
6271602,Fab 5 BD Hillwalkers/Family Retreat,3910338,Patrika,,Dn Laoghaire-Rathdown,53.26346,-6.21852,Entire home/apt,250,2,4,2015-08-09,0.08,1,0
6283612,Bright Dublin Seaside Apartment - Entire Place,32663745,Jennifer,,Fingal,53.41695,-6.14532,Entire home/apt,75,3,10,2019-09-08,0.80,2,0
6286228,Historic Georgian Townhouse - City Centre,8063582,Dec,,Dublin City,53.33247,-6.26674,Entire home/apt,550,2,83,2019-08-03,1.58,1,96
6289736,Roomate gone for the weekend,32698714,Amo,,Dublin City,53.34924,-6.27629,Private room,75,1,2,2015-06-21,0.04,2,0
6290081,Large Luxury Penthouse in the City.,2133795,Carmel,,Dublin City,53.33544,-6.27438,Entire home/apt,395,2,57,2019-09-14,1.08,1,333
6294418,Charming victorian redbrick cottage,18760480,Barbara,,Dublin City,53.35564,-6.27056,Entire home/apt,149,3,237,2019-09-15,4.49,1,11
6300005,Bright Victorian 3 BD Home w Garden,2760855,Ruth & John,,Dublin City,53.32033,-6.2871,Entire home/apt,239,3,20,2017-06-18,0.39,1,82
6301994,House in heart of Victorian Dublin,4818762,Dave,,Dublin City,53.3147,-6.28014,Entire home/apt,350,3,2,2015-07-28,0.04,1,267
6303717,Beautiful City Centre Apartment,22189021,Ben,,Dublin City,53.34217,-6.27754,Entire home/apt,180,2,24,2018-03-18,0.46,1,0
6309046,Recently Renovated Victorian House,30325866,Marcus,,Dublin City,53.33724,-6.23042,Entire home/apt,240,5,16,2019-08-24,0.41,1,55
6331197,Central Dublin Victorian terrace house,11017883,Erica,,Dublin City,53.33858,-6.30156,Entire home/apt,303,5,6,2019-08-08,0.12,1,0
6347315,Light filled spacious family home,7996626,Fiona,,Dublin City,53.33869,-6.32908,Entire home/apt,180,2,26,2019-08-25,0.51,1,112
6348110,twin / double room in Castleknock,33067422,Ciara,,Fingal,53.38428,-6.38424,Private room,38,2,20,2019-09-09,0.38,2,123
6356614,TEST-Private Room in Dublin,33099904,Tomoka,,Dublin City,53.34279,-6.2804,Private room,78,2,0,,,1,0
6360951,Ensuite Room Grand Canal: Ideal for business trip,9213722,Marta,,Dublin City,53.33788,-6.23395,Private room,70,5,2,2015-05-25,0.04,1,0
